P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg006-V-C01-R01-D07012014-T114255-ML638_450_50.npy,35,17
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg021-V-C01-R01-D07012014-T142813-ML638_400_50.npy,17,9
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg003-V-C01-R01-D07012014-T111412-ML638_350_50.npy,31,12
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg008-V-C01-R01-D07012014-T123911-ML638_1400_50.npy,39,14
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg055-V-C01-R01-D01122014-T133333-ML638_50_50.npy,7,3
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg064-V-C01-R01-D01122014-T145337-ML638_250_50.npy,15,7
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg001-V-C01-R01-D07012014-T105717-ML638_50_50.npy,37,20
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg003-V-C01-R01-D07012014-T111412-ML638_500_50.npy,31,12
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg001-V-C01-R01-D07012014-T105717-ML638_300_50.npy,37,20
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg072-V-C01-R01-D02122014-T100826-ML638_50_50.npy,6,3
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg006-V-C01-R01-D07012014-T114255-ML638_650_50.npy,35,17
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg001-V-C01-R01-D07012014-T105717-ML638_250_50.npy,37,20
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg018-V-C01-R01-D30112014-T140441-ML638_400_568.npy,12,10
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg005-V-C01-R01-D07012014-T113520-ML638_750_50.npy,27,19
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg006-V-C01-R01-D07012014-T114255-ML638_700_50.npy,35,17
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg019-V-C01-R01-D07012014-T141237-ML638_650_50.npy,26,10
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg013-V-C01-R01-D30112014-T131041-ML638_50_366.npy,32,16
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg012-V-C01-R01-D07012014-T131627-ML638_550_50.npy,23,14
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg001-V-C01-R01-D07012014-T105717-ML638_150_50.npy,37,20
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg069-V-C01-R01-D02122014-T092736-ML638_150_342.npy,8,4
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg001-V-C01-R01-D07012014-T105717-ML638_400_50.npy,37,20
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg009-V-C01-R01-D07012014-T125232-ML638_2300_1003.npy,58,47
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg001-V-C01-R01-D07012014-T105717-ML638_950_50.npy,37,20
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg036-V-C01-R01-D01122014-T095519-ML638_300_233.npy,5,5
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P598-Fg009-V-C01-R01-D07012014-T125232-ML638_1700_1003.npy,58,47
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg040-V-C01-R01-D01122014-T103014-ML638_250_50.npy,7,7
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg064-V-C01-R01-D01122014-T145337-ML638_350_50.npy,15,7
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg062-V-C01-R01-D01122014-T143757-ML638_0_50.npy,12,6
P597-Fg006-V-C01-R01-D30112014-T111958-ML638_400_50,P597-Fg071-V-C01-R01-D02122014-T095737-ML638_200_50.npy,14,8
